FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
216,-117.4251974,40.9458188,Golconda mine,NV,Tufa,Qtm,Rhodes_2021,Mapped tufa (or is it travertine?) Need field confirmation
217,-117.4919973,40.96197101,Golconda-Pumpernickel Valley,NV,Travertine,Qt,Faulds_2020, 
218,-118.9118623,40.24662012,Granite Springs Valley,NV,Silica-cemented sand,Qss,Hinz; Faulds; Ayling 2018-2019, 
219,-118.9156638,40.2028211,Granite Springs Valley,NV,Silica-cemented sand,Qss,Hinz; Faulds; Ayling 2018-2019, 
220,-118.9126572,40.24620096,Granite Springs Valley,NV,Silica-cemented sand,Qss,Faulds_2020,Sinter and silicified sands
221,-118.9157197,40.2066587,Granite Springs Valley,NV,Silica-cemented sand,Qss,Ayling_2021, 
222,-118.9240036,40.26279831,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Ayling and Kraal, 2021",Field validated
223,-118.913002,40.24599838,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Ayling and Kraal, 2021",Field validated
224,-118.9160004,40.20660019,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Ayling and Kraal, 2021",Field validated
225,-118.913002,40.24129868,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Ayling and Kraal, 2021",Field validated
226,-118.9290009,40.26150131,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Ayling and Kraal, 2021",Field validated
227,-118.9150009,40.20729828,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
228,-118.9179993,40.20849991,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
229,-118.9199982,40.20940018,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
230,-118.9229965,40.19979858,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
231,-118.9229965,40.19810104,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
232,-118.9219971,40.19829941,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
233,-118.9150009,40.20899963,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
234,-118.9100037,40.22499847,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
235,-118.9120026,40.23600006,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
236,-118.913002,40.23590088,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
237,-118.913002,40.2358017,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
238,-118.9150009,40.2364006,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
239,-118.9150009,40.23709869,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
240,-118.9160004,40.23799896,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
241,-118.9160004,40.23830032,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
242,-118.9160004,40.23849869,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
243,-118.9140015,40.22679901,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
244,-118.9160004,40.21630096,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
245,-118.9150009,40.22069931,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
246,-118.9160004,40.22050095,Granite Springs Valley,NV,Silica-cemented sand,Qss,"Hinz, 2017; Faulds,2017",Field validated
247,-118.9140015,40.24860001,Granite Springs Valley,NV,Sinter,Qssi,"Ayling and Kraal, 2021",Field validated
248,-118.9140015,40.24810028,Granite Springs Valley,NV,Sinter,Qssi,"Ayling and Kraal, 2021",Field validated
249,-118.9150009,40.2132988,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
250,-118.9160004,40.21360016,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
251,-118.9150009,40.21429825,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
252,-118.9140015,40.21519852,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
253,-118.9140015,40.21530151,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
254,-118.9140015,40.2154007,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
255,-118.9140015,40.21549988,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
256,-118.9140015,40.2159996,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
257,-118.9140015,40.21620178,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
258,-118.9140015,40.21630096,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
259,-118.9140015,40.21640015,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
260,-118.9140015,40.21659851,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
261,-118.9140015,40.21730042,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
262,-118.9140015,40.21760178,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
263,-118.913002,40.21760178,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
264,-118.913002,40.2179985,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
265,-118.913002,40.2181015,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
266,-118.9120026,40.21849823,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
267,-118.913002,40.23249817,Granite Springs Valley,NV,Travertine,Qt,"Hinz, 2017; Faulds,2017",Field validated
268,-118.9157171,40.20656595,Granite Springs Valley,NV,Tufa,Qtm,Ayling_2021,Field validated
269,-118.9290009,40.26269913,Granite Springs Valley,NV,Tufa,Qtm,"Ayling and Kraal, 2021",Field validated
270,-118.9169998,40.26129913,Granite Springs Valley,NV,Tufa,Qtm,"Ayling and Kraal, 2021",Field validated
271,-118.927002,40.26010132,Granite Springs Valley,NV,Tufa,Qtm,"Ayling and Kraal, 2021",Field validated
272,-118.9160004,40.20660019,Granite Springs Valley,NV,Tufa,Qtm,"Ayling and Kraal, 2021",Field validated
273,-118.9290009,40.26150131,Granite Springs Valley,NV,Tufa,Qtm,"Ayling and Kraal, 2021",Field validated
274,-112.5252494,40.64640944,Grantsville Warm Springs,UT,Travertine,Qst,"Feth, J.H., and Barnes, I., 1979, Spring-deposited travertine in eleven western states: U.S. Geological Survey Water-Resources Investigations Open-File Report 79-35.",Extensive travertine aprons surrounding large spring head
275,-117.386717,37.027042,Grapevine Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Miller, 1977","Location not field validated. Inyo, Secs. 2, 3, 10, T. 11 S., R. 42 E., Active, Travertine forms topographic bench"
276,-119.3643671,40.66278826,Great Boiling Springs (Gerlach geothermal system),NV,Silica-cemented mud or ash,Qsm,Mariner et al_1974;Wollenberg_1974, 
277,-119.843514,38.695631,Grover Hot Springs,CA,Travertine,Qt,Faulds_2020,Minor travertine on slopes near Grover Hot Springs-location not taken
278,-119.91423,42.072733,Hallinan Spring,OR,Travertine,Qt,"Feth and Barnes, 1979; Bowen and Peterson,1970","Location not field validated. Lake, 29, T. 40 S., Ft. 24 E., Active, Much siliceous travertine is in vicinity"
279,-112.4977001,38.84773251,Hatton Hot Spring,UT,Travertine,Qt,Faulds_2020,Extensive travertine veins and mounds
280,-112.4879009,38.85802208,Hatton Hot Spring,UT,Travertine,Qt,Faulds_2020,Extensive travertine veins and mounds
281,-112.4903432,38.85742326,Hatton Hot Spring,UT,Travertine,Qt,Faulds_2020,Extensive travertine veins and mounds
282,-112.4895394,38.85530815,Hatton Hot Springs,UT,Travertine,Qt,Ayling_2021,Large travertine mound with ridges aligned NE-SW and some ridges orthogonal to this.
283,-112.490125,38.85409919,Hatton Hot Springs,UT,Travertine,Qst,"Lehi F. Hintze, 2008, Geologic map of the Richfield 30' x 60' quadrangle, southeast Millard County and parts of Beaver, Piute, and Sevier Counties, Utah. M-195dm. UGS. 1:100,000 scale.",Extensive travertine mounds and ridge active hot spring at southern end
284,-118.5822068,38.56776515,Hawthorne,NV,Tufa,Qtm,Coolbaugh_June2020, 
285,-119.095081,39.59128417,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Silicified Lahontan sands
286,-119.1071102,39.58360686,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Silicified Lahontan sands
287,-119.1087597,39.58386523,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Opalized material in silicified Lahontan sands
288,-119.1082401,39.589001,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Silicified Lahontan sands
289,-119.1072719,39.59047809,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Silicified Lahontan sands with petrified wood
290,-119.1173346,39.58365524,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Silicified Lahontan sands
291,-119.0935421,39.56183312,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Small exposure of silicified Lahontan sands
292,-119.0787962,39.55371007,Hazen,NV,Silica-cemented sand,Qss,Faulds_2020,Small exposure of silicified Lahontan sands
293,-119.1110707,39.58826489,Hazen,NV,Sinter,Qssi,Faulds_2020,Opaline sinter
294,-119.1102561,39.58482909,Hazen,NV,Sinter,Qssi,Faulds_2020,Pleistocene sinter
295,-119.1154582,39.5870409,Hazen,NV,Sinter,Qssi,Faulds_2020,Sinter terrace with stem casts
296,-119.1116747,39.59396587,Hazen,NV,Sinter,Qssi,Faulds_2020,Includes some silicified sands
297,-119.1163545,39.58473619,Hazen,NV,Sinter,Qssi,Faulds_2020,Sinter with nearby vegetation indicative of a spring
298,-119.0758807,39.56405097,Hazen,NV,Tufa,Qtm,Faulds_2020,2-4 m high tufa tower
299,-120.007649,40.24783,High Rock Spring,CA,Tufa,Qtm,"Feth and Barnes, 1979; Russell,1885; Waring,1915","Location not field validated. Lassen, T. 28 N., R. 17 E.(?), Unknown, Large travertine crags occur. (Russell, 1885) Waring (1915) said travertine covers 0.8-1.0 ha and water temperature was 30°C."
300,-119.4109609,38.89872315,Hind's(Nevada) Hot Springs,NV,Travertine,Qt,Mariner et al_1974, 
301,-119.8493789,39.06453405,Hobo Hot Springs,NV,Travertine,Qt,NBMG_2008; Trexler et al_1980; Pease_1980; Birk_1987, 
302,-114.5139092,42.31139234,Hollister,ID,Travertine,Rhyolite (Miocene),"Savage, 1969",Uncertain if digitized location is travertine. Surface excavations in vicinity.
303,-119.9146672,40.08936836,Honey Lake - south end ,NV,Tufa,Qtm,"Coolbaugh, 2022-Mar-26",Field visited years ago; imprecise reports/'rumours' of hot springs/wells a short distance to north
304,-118.860383,37.647279,Hot Creek,CA,Sinter,Qssi,"Feth and Barnes, 1979; D. E. White,1957, written commun.","Location not field validated. Mono, Sec. 35, T. 3 S., R. 28 E., Unknown, Big northwest pool on Hot Creek is in travertine and sinter"
305,-118.828562,37.660966,Hot Creek - Casa Diablo,CA,Tufa,Qtm,"Waring,1965; Whiting, 1888","Location not field validated. 5 main springs and 2 stream vents, large tufa deposits, Sec 30 T3S, R29E, no. on figure 125"
306,-118.860399,37.647306,Hot Creek - Casa Diablo,CA,Travertine,Qt,"Feth and Barnes, 1979; D. E. White, 1957, written commun.","Location not field validated. Mono, Sec. 35, T. 3 S., R. 28 E., Unknown, Big northwest pool on Hot Creek is in travertine and sinter"
307,-117.1106328,40.92239353,Hot Pot Springs,NV,Travertine,Qt,Mariner et al_1974; Trexler et al_1982, 
308,-118.8849999,39.73901604,Hot Springs Mts,NV,Tufa,Qtm,Faulds_2020,Tufa with quartz nodules
309,-118.8917241,39.84230575,Hot Springs Mts,NV,Tufa,Qtm,Faulds_2020,Large tufa tower
310,-116.6817185,39.94117045,Hot Springs Point,NV,Sinter,Qssi,Wilson_1960, 
311,-116.6817185,39.94117045,Hot Springs Point,NV,Travertine,Qt,Wilson_1961, 
312,-117.4932138,40.76099651,Hot Springs Ranch (Tipton),NV,Travertine,Qt,Mariner et al_1974; Waring_1919, 
313,-117.4932138,40.76099651,Hot Springs Ranch (Tipton),NV,Sinter,Qssi,Mariner et al_1974, 
314,-115.2863904,40.58655863,"Hot Sulphur Springs(Tuscarora, Ellison Ranch)",NV,Sinter,Qssi,Garside and Schilling_1979, 
315,-115.2863904,40.58655863,"Hot Sulphur Springs(Tuscarora, Ellison Ranch)",NV,Travertine,Qt,Pilkington and Lange_1980, 
316,-119.869695,42.063711,Houston Hot Springs,OR,Sinter,Qssi,"Waring,1965; Trauger, 1950","Location not field validated. H2S smell, sec 27 T 40S R24E 3 miles E of Warner Lake post office, used locally, no. on figure 51S"
317,-118.505448,41.72120752,Howard Hot Spring,NV,Sinter,Qssi,Hose and Taylor_1974; Waring_1965; Stearns et al_1937; Mariner et al_1983; Faulds_2020,"Mostly chalcedonic sinter but some possible opaline sinter; possibly some cinnarbar; vein--354, 80E"
318,-118.2743771,40.59246417,Humboldt House (Rye Patch),NV,Silica-cemented sand,Qss,Hinz; Silver et al_2011, 
319,-117.7186577,40.00295923,Hyder Hot Springs,NV,Travertine,Qt,Blackwell et al_2006, 
320,-116.8882354,43.07105361,IGS-Delamar-01,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
321,-116.8648571,43.03436068,IGS-Delamar-02,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
322,-116.8948593,43.04547281,IGS-Delamar-03,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
323,-116.8948725,43.04712538,IGS-Delamar-04,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
324,-116.8777841,43.08349069,IGS-Delamar-40,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
325,-116.87685,43.05964273,IGS-Delamar-41,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
326,-116.8778831,43.05602813,IGS-Delamar-42,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
327,-116.8693731,43.02586178,IGS-Delamar-43,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
328,-116.8825294,43.05547315,IGS-Delamar-44,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
329,-116.8605875,43.02435041,IGS-Delamar-45,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
330,-116.8667664,43.02320107,IGS-Delamar-46,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
331,-116.865153,43.024571,IGS-Delamar-47,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
332,-116.9200407,43.05815741,IGS-Delamar-48,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
333,-116.8639965,43.02496096,IGS-Delamar-49,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
334,-116.900207,43.050369,IGS-Delamar-50,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
335,-116.8679125,43.03748692,IGS-Delamar-51,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
336,-116.9122518,43.05124443,IGS-Delamar-52,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
337,-116.8954304,43.04824745,IGS-Delamar-53,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
338,-116.8690152,43.03869186,IGS-Delamar-54,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
339,-116.8802534,43.04989851,IGS-Delamar-55,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
340,-116.8783312,43.0496758,IGS-Delamar-56,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
341,-116.8726928,43.04895395,IGS-Delamar-57,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
342,-116.8643085,43.0545049,IGS-Delamar-58,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
343,-116.880664,43.05731665,IGS-Delamar-59,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
344,-116.8716732,43.05935829,IGS-Delamar-60,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
345,-116.8692145,43.05907983,IGS-Delamar-61,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
346,-116.8649617,43.05888092,IGS-Delamar-62,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
347,-116.8815613,43.07255425,IGS-Delamar-63,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
348,-116.8939529,43.05757471,IGS-Delamar-64,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
349,-116.8700508,43.0434058,IGS-Delamar-65,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
350,-116.8535169,43.00923284,IGS-Delamar-66,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
351,-116.8499277,43.00798261,IGS-Delamar-67,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
352,-116.9014655,43.05650864,IGS-Delamar-68,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
353,-116.8798014,43.04028233,IGS-Delamar-69,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
354,-116.8621032,43.02724077,IGS-Delamar-70,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
355,-116.8754969,43.08276747,IGS-Delamar-71,ID,Sinter and silicified zone,,"Gillerman and others, 2021",Imported from IGS database; Overlay Polygon
356,-112.8490166,42.60998642,IGS-Pocatello-01,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
357,-112.8530795,42.6107367,IGS-Pocatello-02,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
358,-112.8492521,42.61217072,IGS-Pocatello-03,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
359,-112.8537626,42.61908895,IGS-Pocatello-04,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
360,-112.851639,42.6193247,IGS-Pocatello-05,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
361,-112.8673884,42.62149011,IGS-Pocatello-06,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
362,-112.8951335,42.63575617,IGS-Pocatello-07,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
363,-112.8977179,42.64139531,IGS-Pocatello-08,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
364,-112.8678792,42.71774361,IGS-Pocatello-09,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
365,-112.8680921,42.71872566,IGS-Pocatello-10,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
366,-112.8830694,42.72299632,IGS-Pocatello-11,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
367,-112.8855383,42.72502787,IGS-Pocatello-12,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
368,-112.8718125,42.72403066,IGS-Pocatello-13,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
369,-112.8809869,42.72574923,IGS-Pocatello-14,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
370,-112.8854803,42.72664335,IGS-Pocatello-15,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
371,-112.8770379,42.7274382,IGS-Pocatello-17,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
372,-112.8735701,42.72952983,IGS-Pocatello-18,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
373,-112.3248935,42.95422829,IGS-Pocatello-19,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
374,-112.3243159,42.95492796,IGS-Pocatello-20,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
375,-112.7558976,42.5053809,IGS-Pocatello-21,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
376,-112.9106618,42.52110429,IGS-Pocatello-22,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
377,-112.7670521,42.52935738,IGS-Pocatello-23,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
378,-112.7871578,42.53334244,IGS-Pocatello-24,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
379,-112.8309855,42.53569389,IGS-Pocatello-25,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
380,-112.823322,42.54616639,IGS-Pocatello-26,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
381,-112.7243271,42.573739,IGS-Pocatello-27,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
382,-112.8467563,42.59146966,IGS-Pocatello-28,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
383,-112.8429476,42.59229558,IGS-Pocatello-29,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
384,-112.8342703,42.59243764,IGS-Pocatello-30,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
385,-112.850996,42.59750867,IGS-Pocatello-31,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
386,-112.8486713,42.60560524,IGS-Pocatello-32,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
387,-112.8536256,42.60698643,IGS-Pocatello-33,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
388,-112.8517611,42.60692044,IGS-Pocatello-34,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
389,-112.8480128,42.60671836,IGS-Pocatello-35,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
390,-112.8550741,42.60756489,IGS-Pocatello-36,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
391,-112.8518919,42.60860829,IGS-Pocatello-37,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
392,-112.8570658,42.60868454,IGS-Pocatello-38,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
393,-112.8548259,42.60902128,IGS-Pocatello-39,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
394,-112.8805038,42.60921251,IGS-Pocatello-40,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
395,-112.8561268,42.60941052,IGS-Pocatello-41,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
396,-112.8561605,42.61031453,IGS-Pocatello-42,ID,Travertine,Qtn,"Link and Stanford, 1999",Imported from IGS database
397,-117.4909557,40.17797341,Jersey Valley,NV,Sinter,Qssi,Ferguson et al_1915;Mariner et al_1974, 
398,-117.4909557,40.17797341,Jersey Valley,NV,Travertine,Qt,Cohen&Everett_1963; Mariner et al_1974; Goff et al_2002; Nosker_1981, 
399,-117.4755823,40.18088409,Jersey Valley,NV,Sinter,Qssi,Coolbaugh_June2020,Exposed in powerplant excavation wall
400,-112.2009967,38.61499999,Joseph Hot Springs,UT,Travertine,Qst,"Peter D. Rowley, 1988, Geologic map of the Antelope Range Quadrangle, Sevier and Piute Counties, Utah. M-106. UGS. 1:24,000 scale.",Travertine fans and travertine cemented alluvium associated with active hot spring
401,-112.2114628,38.60413793,Joseph Hot Springs,UT,Travertine,Qst,"Peter D. Rowley, 1988, Geologic map of the Antelope Range Quadrangle, Sevier and Piute Counties, Utah. M-106. UGS. 1:24,000 scale.",Travertine cemented alluvium and travertine aprons at active hot spring
402,-121.79765,42.261519,Klamath Hot Springs,OR,Silica-cemented sand,Qss,"Waring,1965; White et al., 1953; White et al., 1949; Peterson and Groh, 1967","Location not field validated. Water used for bathing/several wells supplying hot water for heating residences, no. on figure 27"
403,-121.794234,42.26386,Klamath Hot Springs,OR,Tufa,Qtm,"Waring,1965; White et al., 1953; White et al., 1949; Peterson and Groh, 1968","Location not field validated. Water used for bathing/several wells supplying hot water for heating residences, no. on figure 27"
404,-113.8786189,39.24070571,Knolls Cold Springs,UT,Travertine,Qst,"Kirby, 2022",Active vegetated travertine cold spring mounds
405,-113.8741935,39.24828448,Knolls Cold Springs,UT,Travertine,Qst,"Kirby, 2022",Active vegetated travertine cold spring mounds
406,-113.8716427,39.24924594,Knolls Cold Springs,UT,Travertine,Qst,"Kirby, 2022",Active vegetated travertine cold spring mounds
407,-117.8870139,40.39749437,Kyle Hot Springs,NV,Sinter,Qssi,Noble_1974; Loetz and Phoenix_1955; Wollenberd_1974; Mariner et al_1974,Inactive opaline sinter and travertine mound
408,-117.8870892,40.39758278,Kyle Hot Springs,NV,Travertine,Qt,Noble_1974; Loetz and Phoenix_1955; Wollenberd_1974; Mariner et al_1974; Faulds_2020,Inactive opaline sinter and travertine mound
409,-117.8841931,40.40680318,Kyle Hot Springs,NV,Travertine,Qt,Faulds_2020,Travertine mound with 64C spring
410,-119.3787788,40.13917876,Lake Range-tufa,NV,Tufa,Qtm,Faulds_2020,Sizeable area with tufa mound and towers with springs
411,-115.1515602,36.2171336,Las Vegas Valley,NV,Sinter,Qssi,Faulds_2020,Possible opaline sinter (sample collected) along Valley View fault
412,-112.0087183,42.62087557,Lava Hot Springs #1,ID,Travertine,"contact with Alluvial deposits (Quaternary) and
Sedimentary rocks (Devonian to Ordovician)","Young and Mitchell, 1973
Feth and Barnes, 1979","Mapped IGS and IDWR location. Unclear travertine deposit location based on Google Earth imagery review. Digitized around the vicinity of the spring.  Travertine terrace deposits upslope (outcrop at 5,400 ft contour and along slope below to spring)?"
413,-117.6497798,40.60363843,"Leach (Pleasant Valley, Nelson's, Guthrie) Hot Springs",NV,Sinter,Qssi,Dreyer_1940;Olmsted et al_1975; Waring et al_1965, 
414,-118.7189842,39.22142784,Lee Allen Hot Springs,NV,Silica-cemented sand,Qss,"Coolbaugh, 2022-Mar-26, originally mapped by Hinz", 
415,-118.7237831,39.20867501,Lee Hot Springs,NV,Silica-cemented sand,Qss,Mariner et al_1974;Glancy and Katzer_1975, 
416,-118.7231002,39.2082368,Lee Hot Springs,NV,Tufa,Qtm,Ayling_2019, 
