FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
91,-118.9968531,39.81331448,Brady Hot Springs,NV,Sinter, ,"Coolbaugh, 2022-Mar-26,  mapped by Coolbaugh in 2010", 
92,-119.0022227,39.80875851,Brady Hot Springs,NV,Explosion craters, ,"Coolbaugh, 2022-Mar-26",Mapped by Coolbaugh in 2010
93,-121.975747,44.780786,Breitenbush Hot Springs,OR,Travertine,Qt,"Feth and Barnes, 1979; Bowen and Peterson,1970","Location not field validated. Marion, Sec. 20, T. 9 S., R. 7 E., Active, Forty springs issue on travertine terrace"
94,-119.216245,38.224904,Bridgeport Warm Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring, 1915","Location not field validated. Mono, Sec. 10, T. 4 N., R. 25 E., Active, Twenty pools are on travertine terrace about 100 m long. Extinct spring mounds are nearby"
95,-116.0691124,40.21919654,Bruffey's (Mineral Hill) Hot Springs,NV,Travertine,Qt,Stearns et al_1937; White_1955; Goff et al_1994, 
96,-119.3262218,38.23950836,Buckeye Hot Spring,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring,1915","Mono, Sec. 4, T. 4 N., R. 24 E., Active, Water flows over domelike mass of travertine"
97,-119.3262218,38.23950836,Buckeye Hot Spring,CA,Travertine,Qt,Faulds_2020,"Travertine on slopes and separate mound, but no silica"
98,-117.3264608,40.36576563,Buffalo Valley Hot Springs,NV,Travertine,Qt,Faulds_2020; Hose and Taylor_1974; Olmsted et al_1975,"Buffalo Valley, broad area of hot springs with small travertine mounds-max temp-78C"
99,-117.3253284,40.36813819,Buffalo Valley Hot Springs,NV,Travertine,Qt,Hose and Taylor_1974; Olmsted et al_1975, 
100,-112.0545384,41.94314682,Cache county unnamed,UT,Travertine,Qst,"Feth, J.H., and Barnes, I., 1979, Spring-deposited travertine in eleven western states: U.S. Geological Survey Water-Resources Investigations Open-File Report 79-35.",Travertine mound associated with inactive spring
101,-111.6725672,42.65407712,Caribou-01,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
102,-111.6583276,42.65850628,Caribou-02,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
103,-111.6489111,42.66026859,Caribou-03,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
104,-111.7176987,42.91036575,Caribou-04,ID,Tufa and travertine,Qtc,"Oriel and L.B. Platt, 1980, USGS_I-1127",Digitized from map.
105,-111.8020456,42.94265797,Caribou-05,ID,Tufa and travertine,Qtc,"Oriel and L.B. Platt, 1980, USGS_I-1127",Digitized from map.
106,-111.8801436,42.89177192,Caribou-06,ID,Tufa and travertine,Qtc,"Oriel and L.B. Platt, 1980, USGS_I-1127",Digitized from map.
107,-111.747865,42.43899458,Caribou-07,ID,Tufa and travertine,Qtc,"Oriel and L.B. Platt, 1980, USGS_I-1127",Digitized from map.
108,-111.789776,42.50529442,Caribou-08,ID,Tufa and travertine,Qtc,"Oriel and L.B. Platt, 1980, USGS_I-1127",Digitized from map.
109,-111.7869012,42.49759196,Caribou-09,ID,Travertine?,Qtc?,"Keeley and others, 2011, T-11-2",Digitized from map.
110,-111.5569591,42.71475555,Caribou-10,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
111,-111.5657934,42.71061739,Caribou-11,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
112,-111.5842791,42.7018887,Caribou-12,ID,Tufa and travertine,Qt,"Armstrong, 1969, USGS_I-557",Digitized from map.
113,-111.7636569,42.71259088,Caribou-13,ID,Tufa,Qt,"Oriel, 1968, USGS_OF-68-204",Digitized from map.
114,-111.5038803,42.61562161,Caribou-14,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
115,-111.6280082,42.66200102,Caribou-15,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
116,-111.5455313,42.77074832,Caribou-16,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
117,-111.5446813,42.90904208,Caribou-17,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
118,-111.5920222,42.92649607,Caribou-18,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
119,-111.5476735,42.64886222,Caribou-19,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
120,-111.5535108,42.68775904,Caribou-20,ID,Travertine?,Qtc,"Oriel and Platt, 1980, I-1127",Digitized from map.
121,-111.5774177,42.65999556,Caribou-21,ID,Tufa,"Fluvial and lake sediment (Quaternary)
Basalt (Pleistocene and Pliocene)
Sedimentary rocks associated with Basin and Range extension (Quaternary, Pliocene, and Miocene)","Ross, 1971",Spring is not mapped in IGS or IDWR databases. Unable to discern spring or tufa from Google Earth imagery. Digitized section in GIS for reference.
122,-118.5797608,39.77932625,Carson Sink tufa well?,NV,Tufa,Qtm,Rhodes_2021,Possible tufa from artesian well. Visible during drought.
123,-118.809271,37.647283,Casa Diablo,CA,Travertine,Qt,"Feth and Barnes, 1979; Rinehart and Ross, 1964","Location not field validated. Mono, Sec. 32, T. 3 S., R. 29 E., Active, Travertine is being deposited at a hot spring"
124,-118.844377,37.690586,Casa Diablo - Little Hot Creek,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring, 1915","Location not field validated. Mono, Sec. 11, T. 3 S., R. 28 E., Unknown, Overflow channel and area about 45 m in diameter are covered by hard deposits ""apparently of silica and lime carbonate"""
125,-118.907178,37.647568,Casa Diablo Hot Springs,CA,Sinter,Qssi,"Waring,1965; Russell, 1889; Waring, 1915; Whiting, 1888","Location not field validated. 20 springs, small deposit of sinter, sec 32 T 3S R 28E on US Highway 395, vapor baths, no. on figure 123"
126,-119.01292,41.00113325,Casey Springs,NV,Silica-cemented mud or ash,Qsm,Ayling_2020, 
